Date,Open,High,Low,Close,Adj Close,Volume
2016-12-20,1.044700,1.046300,1.039800,1.043600,1.043600,10553
2016-12-21,1.043900,1.049700,1.042800,1.047100,1.047100,11184
2016-12-22,1.047200,1.054300,1.046800,1.047900,1.047900,14062
2016-12-23,1.048100,1.051400,1.047100,1.049100,1.049100,7173
2016-12-25,null,null,null,null,null,null
2016-12-27,1.048900,1.050800,1.047500,1.050100,1.050100,4076
2016-12-28,1.050100,1.052400,1.042000,1.045800,1.045800,9563
2016-12-29,1.045600,1.053100,1.045100,1.052100,1.052100,13491
2016-12-30,1.053100,1.069000,1.052200,1.057400,1.057400,19880
2017-01-01,null,null,null,null,null,null
2017-01-03,1.049800,1.052900,1.037400,1.044600,1.044600,17030
2017-01-04,1.044100,1.053100,1.042300,1.049800,1.049800,13656
2017-01-05,1.051800,1.064500,1.051300,1.062200,1.062200,20084
2017-01-06,1.063400,1.065700,1.055400,1.056100,1.056100,15469
2017-01-08,null,null,null,null,null,null
2017-01-09,1.056000,1.061100,1.054000,1.060600,1.060600,14115
2017-01-10,1.061100,1.065700,1.057900,1.058700,1.058700,13048
2017-01-11,1.058400,1.065100,1.048000,1.060300,1.060300,26403
2017-01-12,1.061100,1.071000,1.059800,1.065100,1.065100,19424
2017-01-13,1.063900,1.070000,1.062100,1.066800,1.066800,15008
2017-01-15,null,null,null,null,null,null
2017-01-17,1.064900,1.074500,1.060400,1.073400,1.073400,23780
2017-01-18,1.073500,1.073700,1.065300,1.069200,1.069200,11655
2017-01-19,1.065800,1.070000,1.061100,1.068200,1.068200,21160
2017-01-20,1.067900,1.073100,1.064700,1.073000,1.073000,15046
2017-01-22,null,null,null,null,null,null
2017-01-23,1.072700,1.079200,1.072500,1.076800,1.076800,12854
2017-01-24,1.079200,1.079600,1.074000,1.074300,1.074300,10289
2017-01-25,1.075300,1.079000,1.073200,1.076100,1.076100,11071
2017-01-26,1.077000,1.078500,1.067700,1.071800,1.071800,13535
2017-01-27,1.069700,1.074400,1.067700,1.071800,1.071800,14014
2017-01-29,null,null,null,null,null,null
2017-01-30,1.073000,1.076000,1.063700,1.071100,1.071100,14887
2017-01-31,1.071900,1.082900,1.070100,1.082100,1.082100,19739
2017-02-01,1.081600,1.082400,1.074700,1.079300,1.079300,13738
2017-02-02,1.078300,1.084400,1.077100,1.077800,1.077800,11768
2017-02-03,1.077900,1.081200,1.072500,1.078100,1.078100,14734
2017-02-05,null,null,null,null,null,null
2017-02-06,1.079000,1.080300,1.071900,1.076200,1.076200,10043
2017-02-07,1.076000,1.076300,1.066900,1.070800,1.070800,10924
2017-02-08,1.069500,1.072800,1.065300,1.069800,1.069800,12466
2017-02-09,1.070900,1.072100,1.066300,1.067000,1.067000,14037
2017-02-10,1.066600,1.068000,1.061900,1.064300,1.064300,11459
2017-02-12,null,null,null,null,null,null
2017-02-13,1.064400,1.066900,1.060300,1.061000,1.061000,8764
2017-02-14,1.060700,1.064300,1.057100,1.058300,1.058300,13140
2017-02-15,1.059000,1.061900,1.053000,1.060000,1.060000,14121
2017-02-16,1.060200,1.068800,1.060200,1.068500,1.068500,11759
2017-02-17,1.067800,1.068500,1.061400,1.061500,1.061500,10049
2017-02-19,null,null,null,null,null,null
2017-02-21,1.062700,1.064000,1.053300,1.055600,1.055600,15779
2017-02-22,1.054300,1.058200,1.050100,1.057800,1.057800,17541
2017-02-23,1.056500,1.060100,1.054300,1.057900,1.057900,11583
2017-02-24,1.058500,1.062400,1.056100,1.057000,1.057000,12611
2017-02-26,null,null,null,null,null,null
2017-02-27,1.056500,1.063700,1.055800,1.059300,1.059300,9733
2017-02-28,1.059300,1.063600,1.057100,1.059700,1.059700,12559
